@relation Database_Suggestions

@attribute frequency numeric
@attribute volume numeric
@attribute throughput numeric
@attribute price numeric
@attribute suggestion {SQLite, Apache_Arrow, Amazon_Aurora, Redis, CockroachDB, Google_Cloud_Spanner, InfluxDB}

@data
0.937,0.071,0.221,0.056,InfluxDB
0.822,0.837,0.676,0.765,Google_Cloud_Spanner
0.623,0.818,0.064,0.796,Google_Cloud_Spanner
0.435,0.417,0.968,0.886,Amazon_Aurora
0.128,0.122,0.176,0.635,SQLite
0.123,0.41,0.34,0.549,SQLite
0.263,0.445,0.886,0.383,SQLite
0.255,0.787,0.556,0.166,Apache_Arrow
0.166,0.144,0.052,0.491,SQLite
0.386,0.487,0.93,0.188,SQLite
0.674,0.144,0.504,0.74,Amazon_Aurora
0.411,0.657,0.338,0.349,Apache_Arrow
0.909,0.091,0.373,0.492,InfluxDB
0.011,0.377,0.373,0.285,SQLite
0.598,0.958,0.473,0.043,InfluxDB
0.963,0.793,0.154,0.725,Google_Cloud_Spanner
0.039,0.873,0.08,0.353,Apache_Arrow
0.414,0.512,0.649,0.196,Apache_Arrow
0.993,0.306,0.683,0.492,Redis
0.97,0.507,0.219,0.19,InfluxDB
0.957,0.054,0.532,0.145,Redis
0.951,0.507,0.427,0.46,InfluxDB
0.139,0.632,0.082,0.325,Apache_Arrow
0.86,0.343,0.036,0.955,CockroachDB
0.508,0.336,0.51,0.742,Amazon_Aurora
0.187,0.474,0.956,0.651,Amazon_Aurora
0.441,0.715,0.49,0.164,Apache_Arrow
0.169,0.868,0.792,0.44,Apache_Arrow
0.65,0.743,0.207,0.022,InfluxDB
0.014,0.499,0.096,0.603,SQLite
0.572,0.195,0.679,0.513,Amazon_Aurora
0.157,0.624,0.483,0.907,Amazon_Aurora
0.041,0.951,0.698,0.286,Apache_Arrow
0.589,0.221,0.162,0.015,InfluxDB
0.013,0.036,0.153,0.867,SQLite
0.945,0.315,0.111,0.8,CockroachDB
0.231,0.374,0.627,0.774,Amazon_Aurora
0.856,0.296,0.646,0.97,Amazon_Aurora
0.926,0.791,0.122,0.867,Google_Cloud_Spanner
0.877,0.46,0.926,0.47,Redis
0.29,0.468,0.949,0.827,Amazon_Aurora
0.846,0.475,0.822,0.046,Redis
0.356,0.805,0.506,0.002,Apache_Arrow
0.717,0.127,0.942,0.011,Redis
0.292,0.816,0.377,0.909,Amazon_Aurora
0.089,0.468,0.433,0.926,SQLite
0.194,0.372,0.956,0.367,SQLite
0.002,0.733,0.984,0.199,Apache_Arrow
0.96,0.322,0.614,0.129,Redis
0.008,0.64,0.668,0.362,Apache_Arrow
